S,article_id,surprise_rating,second_rating,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,surprise_avg,rouderd_suprise,like_r1,like_r2,like_r3,like_avg,rouded_like,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3,article
85,34118,37,38,http://www.medicalnewstoday.com/articles/45055.php,New Study Suggests Antidepressants Save Lives,Depression,Depression,,,,1,1,3,1.666666667,2,3,4,4,3.67,3.67,4,4,4,,,,,,,,,,A published UCLA study suggests use antidepressants treat depression saved thousands lives despite concern possible link suicide risk class drugs called selective serotonin reuptake inhibitors SSRI The lead author study Dr Julio Licinio new chairman Department Psychiatry Behavioral Sciences University Miami Leonard M Miller School Medicine Licinio conducted study UCLA director Center Pharmacogenomics Clinical Pharmacology Semel Institute Neuroscience Human Behavior Published June 2006 edition peerreviewed journal PLoS Medicine study analyzes federal data overall suicide rates since early 1960s sales SSRI fluoxetine Prozac United States since antidepressants introduction 1988 2002 The data show US suicide rate held fairly steady 15 years prior introduction fluoxetine dropped steadily 14 years sales antidepressant rose The research team found strongest effect among women Mathematical modeling probable suicide rates 1988 2002 based pre1988 data suggests cumulative decrease expected suicide mortality 33600 people since introduction antidepressant Our findings certainly suggest introduction SSRIs contributed reduction suicide rates United States Licinio said However findings preclude possibility increased risk suicide among small populations individuals The Food Drug Administration introduced black box warnings popular SSRIs 2004 amid rising concerns United States United Kingdom concerning relationship suicide antidepressant use children adults A key unanswered question involves whether antidepressants increase suicide underlying disorder major depression Much psychiatric community fears absence treatment may prove harmful depressed individuals effects drugs themselves Licinio said Most people commit suicide suffer untreated depression Our goal explore possible SSRI suicide link ensuring effective treatment drug development depression halted without cause The study examined ageadjusted suicide rate data Centers Disease Control US Census Bureau early 1960s 2002 Data show suicide rates fluctuated 122 137 per 100000 people entire US population 1988 Since then suicide rates gradually declined lowest rate 104 per 100000 2000 The decline significantly associated increased numbers fluoxetine prescriptions dispensed 247 million 1988 3332 million 2002 Major depressive disorder affects approximately 10 percent American men 20 percent women lifetimes Because prevalence high treatment lasts several months years antidepressant medications common form treatment Fluoxetine widely prescribed antidepressant medication world antidepressant FDAapproved treatment depression children  The research funded National Institutes Health Dana Foundation The University Miami Leonard M Miller School Medicine serves 5 million people academic medical center South Florida The Miller School Medicine earned international acclaim research clinical care biomedical innovations Research top priority 800 ongoing projects funded 217 million external grants contracts faculty The Semel Institute Neuroscience Human Behavior UCLA interdisciplinary research education institute devoted understanding complex human behavior including genetic biological behavioral sociocultural underpinnings normal behavior causes consequences neuropsychiatric disorders Prozac made Eli Lilly Co The pharmaceutical company involved design preparation review publication paper unaware research accepted publication Licinio accepted offer consult Eli Lilly research accepted publication Contact Dan Page University California  Los Angeles
86,272041,33,18,http://www.medicalnewstoday.com/articles/314146.php,Noninvasive blood glucose monitoring device for people with diabetes in development,Diabetes,Diabetes,,,,1,4,1,2,2,5,3,5,4.33,4.33,4,1,2,,,,,,,,,,People diabetes one step closer easily checking blood glucose levels noninvasive device detecting monitoring blood glucose levels currently development The handheld breathalyzer device detects acetone linked high blood glucose levels breath The research presented 2016 American Association Pharmaceutical Scientists AAPS Annual Meeting Exposition worlds largest pharmaceutical sciences meeting The meeting taking place Denver Nov 1317 Although testing technology improved recent decades finger stick testing many 67 percent people diabetes may comply invasive somewhat painful Yet lack bloodglucose monitoring result serious diabetesrelated complications For example persons blood glucose low complications include seizures loss consciousness even death If persons blood glucose high complications include infections cardiovascular disease nerve kidney damage We believe technology great improvement lives people diabetes said Priefer It first noninvasive medical device detecting monitoring diabetes connecting ones acetone levels blood glucose We believe necessary alternative fingerprick approach people living type 1 type 2 diabetes Ronny Priefer PhD colleague Michael Rust PhD Western New England University Springfield Mass developed device  currently size small book  individuals blow check blood glucose levels Priefer team tested device blind study 50 people 26 diabetes 16 type 2 diabetes 8 people type 1 diabetes Using device conjunction sensor slides patients blow device readings immediately taken The acetone level instantly correlated blood glucose level allows patients determine much insulin need take glucose levels high Stage 1 clinical results found clear correlations blood glucose levels breath acetone The outlier found small number smokers higher levels acetone breath due combustion tobacco Priefers goal device end 2017 patients bring home track blood glucose levels time He also working make device even smaller Presentation 04M1130  Diabetes Monitoring Just Breath Away presented Monday Nov 14 Colorado Convention Center  Exhibit Hall E
87,1910,91,38,http://www.medicalnewstoday.com/articles/5594.php,Virtual Reality Helps Breast Cancer Patients Cope with Chemotherapy,Cancer / Oncology,Cancer / Oncology,,,,4,5,3,4,4,5,5,4,4.67,4.67,3,4,2,,,,,,,,,,media contact Amy Austell 919 6844148 919 6601303 amyaustelldukeedu DURHAM NC USA  Women breast cancer fewer adverse effects chemotherapy less fatigue using virtual reality distraction intervention treatments according study Duke University School Nursing Case Western Reserve Comprehensive Cancer Center In study published January 2004 issue Oncology Nursing Forum researchers described chemotherapy patients eased fatigue discomfort solving mystery touring art gallery going deepsea diving virtual environment underwent treatment Virtual reality enables people immerse computergenerated visual aural environment wearing headmounted display device The researchers believe virtual reality makes excellent distraction intervention interactive engages several senses simultaneously immerses participants new world thereby blocking current often stressful environment That stressful environment almost much chemotherapy patient Donna Honeycutt Elon NC She worried able complete entire series treatments needed best chance beating breast cancer Youre room many people receiving chemotherapy Some sick tend always look individual whos sickest For me I felt sicker I environment said Honeycutt underwent chemotherapy two years ago completed portion treatments using virtual reality Susan Schneider PhD director oncology program Duke University School Nursing lead author paper said helping patients keep minds stresses chemotherapy physically mentally important patients Ive nurse 20 years Ive noticed patients focus something treatments less nausea vomiting tolerate treatments better said Schneider For distraction intervention might knitting reading book study examined effectiveness virtual reality specifically breast cancer patients Schneider researchers Case Western Reserve enrolled 20 breast cancer patients ages 18 55 scheduled receive chemotherapy Participants alternatively received chemotherapy treatments help virtual reality without While using virtual reality patients could choose variety commercially available programs walking beach touring art gallery deepsea diving We carefully reviewed programs They Grated interactive overstimulating said Schneider Fast movements cause nausea dizziness scenarios requiring much focus details overly demanding patients receiving chemotherapy The goal intervention ease anxiety  fatigue symptom distress Symptom distress encompasses discomfort patients experienced receiving chemotherapy Such symptoms include nausea vomiting inability concentrate fatigue According researchers distress interferes persons ability perform activities daily living affects quality life Nearly 60 percent chemotherapy patients report form symptom distress After treatment women asked complete surveys symptom distress anxiety level fatigue level After treatments using virtual reality participants answered openended surveys thoughts opinions technology The results trial showed women used virtual reality chemotherapy treatments reported significant decreases symptom distress fatigue immediately following treatments Anxiety levels directly impacted intervention found researchers Our data show drop anxiety levels directly treatment attributed patients relief treatment over said Schneider However one added benefit virtual reality seemed make patients feel though time moving faster For example average chemotherapy treatment might last 67 minutes patients would perceive lasted 42 minutes All study participants preferred chemotherapy treatments virtual reality using intervention 95 percent said would willing use again No participants reported cyber sickness dizziness queasiness visual disturbances resulting use virtual reality No patients reported headaches due eightounce headsets using technology Honneycutt participated similar trial Schneiders Duke University Medical Center said benefited greatly using virtual reality I get sick said I get nauseated I get violently ill like people And I think separate initially The virtual reality helps take away all Schneiders results confirm studies conducted pediatric cancer patients women 55 breast cancer Currently conducting larger trial 120 patients study virtual reality intervention works patients colon lung breast cancer The goal study open men women age 21 determine age diagnosis coping style influence well virtual reality works chemotherapy treatments Schneider encouraged results said virtual reality costeffective intervention works real world setting The headsets programs costeffective easy use patients providers The equipment set five minutes several patients use single set equipment throughout day said A clinic purchase headset computer software 1800 cost using virtual reality single treatment 5 Schneider said larger studies needed understand virtual reality works best virtual reality compares distraction interventions achieve lasting reductions symptom distress fatigue patients left clinical setting The study funded Comprehensive Cancer Center Case Western Reserve University University Hospitals Cleveland well American Cancer Society Institutional research grant Coauthors include Maryjo PricePaul Hospice Western Reserve Lorain County Community College Paula Silverman MD Case Western Reserve University Comprehensive Cancer Center University Hospitals Health System Deborah Talaba Centers Dialysis Care Cleveland contact sources  Susan Schneider 919 6843786 ext 231 susanschneiderdukeedu
88,26745,52,53,http://www.medicalnewstoday.com/articles/35615.php,"Suicide Risk Does Not Increase When Adults Start Using Antidepressants, Study Finds",Depression,Depression,,,,1,4,5,3.333333333,3,2,3,5,3.33,3.33,2,4,5,,,,,,,,,,The risk serious suicide attempts death suicide generally decreases weeks patients start taking antidepressant medication according new study led Group Health Cooperative researchers published January issue The American Journal Psychiatry The study also found risk suicidal behavior starting 10 newer antidepressant medications less risk posed older medications These findings challenge 2004 advisory US Food Drug Administration FDA warned suicidal behavior may emerge treatment newer antidepressant drugs begun Our findings show that fortunately suicide attempts death suicide rare following initiation antidepressants says Greg Simon MD MPH Group Health psychiatrist lead researcher study The period right people start taking antidepressant medication period increased risk In fact risk starting medication lower before This study first published analysis compare risk suicide attempts treatment risks following treatment It based computerized medical pharmacy records 65000 patients filled prescriptions antidepressants 1992 2003 Deaths suicide determined death certificates suicide attempts identified hospital discharge data Group Health researchers found number suicide attempts fell 60 percent adults month antidepressant treatment began declined following five months Among 65103 patients taking antidepressants 31 completed suicides six months following antidepressant prescription That rate higher one month prescription subsequent months The study also found newer antidepressants associated faster decline rates suicidal behavior older drugs Adolescents study suicide attempts adults The researchers found rate first six months antidepressant treatment 314 attempts per 100000 teens 78 attempts per 100000 adults As adults rate highest month treatment declined 60 percent treatment began Given recent public concern possible link suicide antidepressants Simon says fears people may mistakenly believe suicidal behavior common taking antidepressant medications That misperception could lead fewer people depression treated medications proven effective battling depression adds There may subgroups people become agitated suicidal taking drugs people seek help doctor therapist right away happens says Simon But study showed average risk suicide actually goes people start taking antidepressant Simon agrees FDAs recommendations doctors carefully monitor people taking antidepressants Keeping close watch patients begin taking drugs good ideaalthough medicines especially risky dangerous says Patients need monitored ensure theyre getting right medication amount help feel better The National Institute Mental Health funded Simons study Other researchers study James Savarino PhD Belinda Operskalski MPH Group Healths Center Health Studies Philip S Wang MD Harvard Medical Schools Department Health Care Policy About Group Health Cooperatives Center Health Studies Group Health consumergoverned nonprofit health care system coordinates care coverage Based Seattle Group Health subsidiary health carriers Group Health Options Inc KPS Health Plans serve 590000 members Washington Idaho Group Healths Center Health Studies conducts research related prevention diagnosis treatment major health problems It funded primarily government private research grants Joan DeClaire declairejghcorg Group Health Cooperative Center Health Studies wwwghcorg
89,272564,25,17,http://www.medicalnewstoday.com/articles/314673.php,Moderate exercise improves memory dysfunction caused by type 2 diabetes,Diabetes,Diabetes,,,,5,3,3,3.666666667,4,5,5,2,4,4,4,4,2,,,,,,,,,,Type 2 diabetes characterized impaired glucose metabolism cause central nervous systemrelated complications memory dysfunction The hippocampus essential brain component normal memory formation However effect impaired glycometabolism hippocampalmediated memory type 2 diabetes patients known In new study researchers centered University Tsukaba investigated whether hippocampal glucose metabolism memory function altered rat model type 2 diabetes Based idea exercise normalizes glycometabolism improves memory function research team also investigated effects exercise hippocampal glycometabolism memory formation Hippocampal function evaluated placing rat circular pool testing ability remember location platform would allow escape water This wellestablished method measuring spatial learning memory study first author Takeru Shima says Type 2 diabetic rats needed time escape water find platform However 4 weeks moderate exercise able find platform much faster This indicated exercise significantly improved spatial memory impairments type 2 diabetic rats Shima explains Glycogen levels altered tissues diabetes patients leading variety complications However glycogen levels yet investigated hippocampus We showed first time glycogen levels significantly higher hippocampus diabetic rats corresponding author Hideaki Soya says Interestingly single bout exercise reduced hippocampal glycogen levels correlated increase lactate levels Lactate energy substrate neuromodulator hippocampus known enhance memory formation Lactate transferred neurons monocarboxylate transporters MCTs MCT2 expression significantly lower hippocampus type 2 diabetic rats Soya says dysregulated MCT2mediated neuronal uptake lactate possible aetiology memory dysfunction type 2 diabetes elevated hippocampal glycogen may adaptive change compensate decreased lactate utilization 4 weeks moderate exercise enhanced glycogen levels normalized MCT2 expression hippocampus type 2 diabetic rats These findings suggest disrupted MCT2mediated uptake lactate neurons contributes memory dysfunction type 2 diabetic rats The findings indicate moderate exercise could used treat memory impairment patients type 2 diabetes promoting transfer glycogenderived lactate hippocampal neurons
90,269349,68,17,http://www.medicalnewstoday.com/articles/311431.php,Children growing up in solo mother families are well adjusted and developing well,Pediatrics / Children's Health,Pediatrics / Children's Health,,,,4,3,2,3,3,2,5,2,3,3,2,5,3,,,,,,,,,,The number children born single women increasing partly result social legislative changes in jurisdictions rights parenthood While technology readily able meet rising demand donor insemination even IVF little known children think feel fare growing families formed single women A study performed Centre Family Research University Cambridge UK presented poster Helsinki Annual Meeting ESHRE suggests children generally well adjusted positive feelings family life although raise questions absence father families Indeed said researcher Dr Sophie Zadeh at age children begin understand family circumstances continue function well The study evaluation 51 solo mother families compared both quantitatively qualitatively 52 heterosexual twoparent families least one donorconceived child aged 49 years The participating families matched terms age gender target child demographic factors including mothers educational level The study said Dr Zadeh first examine child adjustment childrens perspectives solo mother families age children old enough understand family circumstances means grow without father  study assess childrens reports social family experiences Mothers groups answered standardised questionnaires child adjustment parenting stress In addition solo mothers completed interview asked childrens feelings father whether topic family discussion A total 47 children within solo mother families agreed interviewed They asked family life friendships There significant difference two family types assessed child adjustment according standardised questionnaire However higher levels financial difficulties within solo mother families higher levels parenting stress associated higher levels child adjustment problems Moreover mothers mostly reported children neutral 39 mixed 28 feelings absence father although qualitative analysis mothers reports showed conversations fathers prominent feature family life As children themselves 89 answered question changing family circumstances either expressed desire trivial changes 38 change 51 Children mostly 59 reported high 19 high 40 levels enjoyment school All reported least one friend 51 named five friends The majority 63 teased school experienced trivial teasing 34 Between ages 4 9 donorconceived children solo mother families generally seem well said Dr Zadeh However yet know children fare time think feel donorconceived andor growing without father home grow older In general findings seem suggest matters childrens outcomes solo mother families absence father donor conception quality parenting positive parentchild relationships These findings therefore echo much already know determinants childrens psychological adjustment family types Study Abstract P535 Monday July 4 2016  Childrens adjustment perspectives solo mother families
91,16422,51,33,http://www.medicalnewstoday.com/articles/22319.php,"Cognitive therapy as good as antidepressants, effects last longer",Depression,Depression,,,,2,5,2,3,3,3,5,5,4.33,4.33,4,3,5,,,,,,,,,,Cognitive therapy treat moderate severe depression works well antidepressants  according authoritative report appearing today Archives General Psychiatry The study conducted researchers University Pennsylvania Vanderbilt University challenges American Psychiatric Associations guidelines antidepressant medications effective treatment moderately severely depressed patients Either form treatment worked significantly better placebo  researchers demonstrated cognitive therapy effective medication preventing relapses end treatment We believe cognitive therapy might lasting effects equips patients tools need learn manage problems emotions said Robert DeRubeis professor chair Penns Department Psychology Pharmaceuticals effective offer long term cure symptoms depression For many people cognitive therapy might prove preferred form treatment The study follows years debate relative merits cognitive therapy versus medication severe forms depression largest trial yet undertaken topic involved 240 depressed patients The patients randomly placed groups received cognitive therapy antidepressant medication placebo Patients antidepressant group twice large two treated paroxetine Paxil Lithium desipramine also given necessary After 16 weeks treatment patients medication cognitive therapy groups showed improvement rate however cognitive therapy patients less likely relapse two years following end treatment According researchers return symptoms might demonstrate medication may blunted appearance depression affect underlying disease processes Medication often appropriate treatment drugs drawbacks side effects diminished efficacy time DeRubeis said Patients depression often overwhelmed factors life pills simply cannot solve In many cases cognitive therapy succeeds teaches skills help people cope The researchers also noted slight differences response treatment two testing locations cognitive therapy performing better Penn medications performing better Vanderbilt Researchers surmise medication worked well Vanderbilt clinic patients markedly anxious addition depressed medications used research antianxiety properties The researchers believe cognitive therapy patients might done better Penn due experience level therapists involved Just experience therapists may important cognitive therapy so too expertise prescribing physicians play role success antidepressant medication treatment Studies shown antidepressant medication dosages still largely matter physicians discretion Clearly cognitive therapy everyone success could depend variables expertise therapist patients willingness ability take therapy heart DeRubeis said The key establishing form treatment rating effectiveness comparison treatments currently use study shown cognitive therapy viable alternative Clinical researchers Penn School Medicines Department Psychiatry involved study Jay D Amsterdam Paula R Young John P OReardon Madeline M Gladis Vanderbilt researchers include Steven D Hollon Department Psychology Richard C Shelton Ronald M Salomon Margaret L Lovett Laurel L Brown Department Psychiatry Contributing author Robert Gallop West Chester Universitys Department Mathematics Applied Statistics The work supported grant National Institutes Health GlaxoSmithKline provided medication placebos Contact Greg Lester glesterpoboxupennedu 215 5736604 University Pennsylvania httpwwwupennedu
92,782,44,29,http://www.medicalnewstoday.com/articles/4459.php,Doctor's communication style may sway cancer patients,Cancer / Oncology,Cancer / Oncology,,,,3,2,2,2.333333333,2,4,4,5,4.33,4.33,3,4,4,,,,,,,,,,WEST LAFAYETTE Ind USA  The way doctor explains clinical trial options affect cancer patients decision whether participate says Purdue University communication professor Felicia Roberts conversation analyst studied physicians communicated treatment options patients considering breast cancer clinical trials studies evaluate new therapy fighting disease About 20000 patients participate clinical trials sponsored National Cancer Institute according institute This research shows physicians extremely different approaches explaining recommending clinical trials varying differences may affect clinical trial enrollment said Roberts whose research area health communication My work serve mirror doctors see communication patterns often aware of Sometimes raising awareness improve doctorpatient interactions As patients take leading role health care important cancer patients understand perception doctors medical recommendation influenced physicians communication style said Roberts authored Talking About Treatment Recommendations Breast Cancer Adjuvant Therapy Her paper Qualitative Differences Among Cancer Clinical Trial Explanations appeared December issue Social Science  Medicine Roberts said doctors presentation structuring delivery clinical trial recommendations well perceived patients comparatively new areas study health communication Despite fairly extensive surveys retrospective studies forensic study medical records detailed linguistic examination way physicians actually present clinical trials patients Roberts said I wanted know transpires physician offices explanations cancer clinical trial treatment option This one way better understand factors affecting enrollments Roberts study examined patients recruited trials extent physician encourages enrollment Roberts studied 21 audio recordings doctorpatient consultations collected part another researchers study concerning breast cancer treatment decisions She selected two contrasting cases document extreme differences doctors approaches Doctors walk fine line speak patients cant promise results even though data tend encourage treatment Roberts said One doctor identified clinical trial institutional endeavor said clinical trial finding best treatments She also chronicled word choices information shared Patients likely never know factors contributing physicians recommendation particular trial oncologists stance toward trials general All front option presented Roberts said Understanding way alternatives presented doctors central improving patientprovider interaction Writer Amy PattersonNeubert 765 4949723 apattersonpurdueedu Source Felicia Roberts 765 4943323 frobertspurdueedu Purdue News Service 765 4942096 purduenewspurdueedu NOTE TO JOURNALISTS Felicia Roberts article Qualitative Differences Among Cancer Clinical Trial Explanations appeared December issue Social Science  Medicine ABSTRACT Qualitative differences among cancer clinical trial explanations Felicia Roberts This paper examines medical oncologists present breast cancer patients option participating experimental treatment trials The investigation takes case study approach comparing two contrasting presentations clinical trial option One presentation constructs experimental trial locally organized joint physicianpatient effort determine best treatments minimizes uncertainty oversimplification randomization process second presentation situates clinical trial within larger national research effort underscores uncertainty created randomization casts nonenrollment reasonable option These observations provide initial evidence physician presentation clinical trial varies substantially provides first detailed look actual discourse practices used United States recruit patients experimental protocols
93,273174,68,18,http://www.medicalnewstoday.com/articles/315288.php,White fat converted to 'good' brown fat with anticancer drug,Obesity / Weight Loss / Fitness,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,2,5,2,3,3,2,4,3,3,3,3,3,5,3,3,4,,,,,,,The researchers found mice fed highcalorie diet developed brown fat burned calories less total body fat experienced less weight gain treated bexarotene Bex  drug approved treatment cutaneous T cell lymphoma  rodents receive anticancer drug Senior researcher Sheng Ding PhD Gladstone Institutes San Francisco CA colleagues recently published findings journal Cell Reports Brown fat brown adipose tissue one two main types fat human body white fat White fat responsible storing energy heat insulation whereas brown fat responsible burning energy heat production thermogenesis In babies brown fat makes around 5 percent total body mass helps keep warm As age however amount brown fat possess reduced In recent years studies suggested adults greater amounts brown fat leaner increasing production brown fat may effective weight loss strategy Introducing brown fat exciting new approach treating obesity associated metabolic diseases diabetes notes first study author Baoming Nie PhD former postdoctoral scholar Gladstone All current weight loss drugs control appetite nothing market targets energy expenditure adds If create additional stores brown fat boost function body could burn energy stored white fat easily In order increase brown fat stores researchers searching ways turn white fat cells brown fat cells For new study Ding colleagues tested 20000 chemicals aim identifying ones could that The researchers found anticancer drug Bex effective By activating protein called retinoid X receptor RXR team found Bex prompted series changes white fat cells muscle precursor cells converted cells mimic brown fat In detail researchers found Bex activated RXR genes responsible brown fat production also activated genes associated white fat muscle deactivated Next researchers set determine effects Bex body weight mice The team fed mice highcalorie diet 4 weeks Half mice treated Bex remaining half receive drug Compared untreated mice rodents received Bex showed higher amounts brown fat burned calories less total body fat gained less weight despite groups fed diet Taken together researchers believe findings indicate Bex could offer effective way boost brown fat production reduce obesity  condition currently affects third adults United States Were excited prospect using drug generate brown fat body However Bex effective creating brown fat cells specific drug several potential side effects may arise taking it Our next task develop safer targeted drug affects genes involved creating brown fatSheng Ding PhD Learn mulberry compound could aid weight loss activating brown fat
94,266739,88,23,http://www.medicalnewstoday.com/articles/308765.php,Few children get 60 minutes of vigorous physical activity daily,Pediatrics / Children's Health,Pediatrics / Children's Health,Obesity / Weight Loss / Fitness,,,2,1,2,1.666666667,2,4,4,4,4,4,4,3,2,3,2,4,,,,,,,Children far meeting national guidelines physical activity girls greatest risk falling short recommendations according study measuring physical activity 453 schoolchildren Massachusetts oneweek period Led researchers Tufts University School Medicine Friedman School Nutrition Science Policy Tufts University study examined childrens activity patterns schooltime outofschool compared national recommendations The Physical Activity Guidelines Americans recommend schoolage children get least 60 minutes moderatetovigorous physical activity MVPA every day Health Medicine Division National Academies Sciences Engineering Medicine formerly Institute Medicine recommends 30 minutes activity occur school day The researchers studied physical activity among children grades three five school day also school weekends determine children less active Measurements childrens physical activity taken accelerometers worn seven consecutive days waking hours Notably study included representative sample children across several school districts Massachusetts 30 percent study participants overweight obese Researchers found across entire sample 453 children 15 percent achieved 60 minutes daily MVPA even fewer 8 percent met HMD recommendation 30 minutes MVPA school The greatest disparity boys girls girls far less likely boys meet guidelines 8 percent 2 percent meeting total daily schooltime recommendations respectively As compared normal underweight children overweight obese children also less active overall achieved fewer minutes MVPA school outofschool weekends We thought school day would offer protective effect would differences activity levels boys girls children different weight categories school day compared weekends outofschool time Instead found girls overweight children less active measured segments including school day Kristie Hubbard PhD MPH RD first corresponding author study adjunct instructor department public health community medicine Tufts University School Medicine said Understanding childrens patterns physical activity throughout week assist researchers recommend policies programs increase activity levels settings children live learn play The authors note schools uniquely positioned encourage millions children increase physical activity reduce prevalence obesity We find ways increase activity levels especially given states mandate provide opportunities children achieve HMDs recommendation 30 minutes schooltime moderatetovigorous physical activity In fact many schools cutting back even eliminating physical education recess time said Jennifer Sacheck PhD studys senior author associate professor Friedman School Nutrition Science Policy Tufts University The majority childs day spent sedentary light physical activities LPA LPA contributing greatest amount total activity levels Importantly researchers found LPA decreased increasing grade level girls similar boys weekends outofschool hours significantly lower boys schoolday This schooltime disparity LPA seen normal weight overweightobese children Sacheck continued We need also continue create opportunities LPA schooltime recognize distinct disparity exists girls MVPA also LPA schoolday apparent outofschool time Clearly schools need aware disparity focus increasing intensities physical activity equally children across schoolday
95,35741,42,29,http://www.medicalnewstoday.com/articles/47078.php,Cancer Risk Decreased For Women At High-risk After Removal Of Ovaries,Cancer / Oncology,Cancer / Oncology,Women's Health / Gynecology,,,2,3,1,2,2,4,4,3,3.67,3.67,3,2,4,4,4,2,,,,,,,Women mutations BRCA1 BRCA2 genes significantly reduce risk certain types cancer ovaries removed according study July 12 issue JAMA Women harmful mutation BRCA1 BRCA2 gene high lifetime risk ovarian cancer range 15 percent54 percent mutations either genes increase susceptibility cancers ovary fallopian tube peritoneum abdominal lining according background information article Women mutation often advised undergo preventive oophorectomy surgical removal ovaries The effectiveness intervention prospectively evaluated large group patients Steven A Narod MD TorontoSunnybrook Regional Cancer Center Toronto Ontario colleagues conducted study determine absolute risks developing ovarian fallopian tube peritoneal cancers group BRCA1 BRCA2 mutation carriers estimated risk reduction associated salpingooophorectomy surgical removal ovaries fallopian tubes Women known carry BRCA1 BRCA2 mutation identified international registry 1992 2003 A total 1828 carriers 1 32 centers Canada United States Europe Israel completed questionnaires baseline followup Participants observed date study entry until diagnosis ovarian fallopian tube peritoneal cancer death date recent followup After average followup 35 years 50 new ovarian fallopian tube peritoneal cancer cases reported group Of 1828 women 555 30 percent underwent preventive removal ovaries tubes prior study entry 490 27 percent underwent procedure entering study 783 43 percent undergo procedure There 32 new cancers diagnosed women intact ovaries The estimated cumulative incidence peritoneal cancer 43 percent 20 years oophorectomy The overall adjusted reduction cancer risk associated bilateral oophorectomy 80 percent The researchers estimated risk ovarian cancer 62 percent BRCA1 carriers 18 percent BRCA2 carriers women age 75 ovaries intact Women carry mutation BRCA1 gene asked consider prophylactic bilateral salpingooophorectomy age 35 thereabouts order reduce risk ovarian fallopian tube breast cancer  Our observations support recommendation It may reasonable wait time closer menopause prevent ovarian fallopian tube cancer BRCA2 carriers delay diminish level protection offered breast cancer subgroup authors write We estimate magnitude risk reduction from preventive removal ovaries tubes approximately 80 percent residual risk 4 percent peritoneal cancer sufficiently high recommend procedure It important fallopian tubes ovaries removed either site may origin cancer organs examined fine detail rule presence microscopic disease researchers conclude JAMA 2006296185192  Editors Note This work supported grant Canadian Breast Cancer Research Alliance National Institutes Health Contact Steven A Narod MD JAMA Archives Journals
96,256924,63,25,http://www.medicalnewstoday.com/articles/298627.php,A bottle of water before mealtimes could aid weight loss,Water - Air Quality / Agriculture,Obesity / Weight Loss / Fitness,Nutrition / Diet,,,3,1,1,1.666666667,2,4,3,5,4,4,4,3,5,4,3,2,,,,,,,Published journal Obesity study found drinking 500 ml water half hour eating breakfast lunch dinner led greater weight loss among obese adults compared drink water mealtimes The beauty findings simplicity Just drinking pint water three times day main meals may help reduce weight says Dr Helen Parretti University Birmingham UK It well established water essential health It rids toxins body transports nutrients oxygen cells lubricates joints regulates body temperature protects bodys organs tissues among functions Previous studies also demonstrated benefits water consumption In 2013 example Medical News Today reported study suggesting drinking water mental task boost brain performance Other research also suggested water consumption may effective weight loss Dr Parretti colleagues set investigate association further The team enrolled 84 obese adults study randomized one two groups One group required consume 500 ml tap water 30 minutes breakfast lunch dinner  referred preloading  every day 12 weeks The remaining participants  control group  asked imagine stomach full prior main meal All participants received weight management consultation study baseline received advice improve diet physical activity levels All subjects also received followup telephone consultation 2 weeks later Compared control group participants preloaded water prior main meal lost average 13 kg 287 Ibs weight Preloading subjects lost average 43 kg 948 Ibs 12week period control subjects lost average 08 kg 176 Ibs Dr Parretti told MNT study designed understand exactly water consumption drives weight loss suggested several possible mechanisms could explain findings These could include drinking water increases metabolic rate temporarily makes feel fuller eat less mealtimes noted The researchers say findings provide preliminary evidence drinking water prior main meals aid weight loss note simple strategy health care professionals could easily promote overweight obese patients Dr Parretti adds When combined brief instructions increase amount physical activity healthy diet seems help people achieve extra weight loss  moderate healthy rate Its something take much work integrate busy everyday lives Dr Paretti told MNT however groups patients heart kidney failure consuming pint water mealtimes may appropriate The team plans conduct larger longerterm trial looking gain better understanding water preloading influences weight loss Losing extra pounds course year significant individual could easy way help weight loss says Dr Parretti Its simple message potential make real contribution public health In March Spotlight feature MNT looked drinking water important health
